Name,Repository Name,Created Date,Language,Stars,Watchers,Forks Count,Score,Topics,Private,Owner Name,URL,Description,Size
PythonDataScienceHandbook,jakevdp/PythonDataScienceHandbook,2016-08-10T14:24:36Z,Jupyter Notebook,35995,35995,15974,1.0,"['jupyter-notebook', 'matplotlib', 'numpy', 'pandas', 'python', 'scikit-learn']",False,jakevdp,https://github.com/jakevdp/PythonDataScienceHandbook,Python Data Science Handbook: full text in Jupyter Notebooks,34684
python-for-data-analysis,cuttlefishh/python-for-data-analysis,2016-11-23T00:31:52Z,Jupyter Notebook,738,738,312,1.0,[],False,cuttlefishh,https://github.com/cuttlefishh/python-for-data-analysis,An introduction to data science using Python and Pandas with Jupyter notebooks,27801
introduction-datascience-python-book,DataScienceUB/introduction-datascience-python-book,2016-10-03T08:30:58Z,Jupyter Notebook,355,355,475,1.0,"['analytics', 'data', 'data-science', 'datascience', 'machine-learning', 'python', 'sentiment-analysis']",False,DataScienceUB,https://github.com/DataScienceUB/introduction-datascience-python-book,"Introduction to Data Science: A Python Approach to Concepts, Techniques and Applications",14987
Python4DS,Mjrovai/Python4DS,2018-04-17T16:09:00Z,Jupyter Notebook,168,168,206,1.0,[],False,Mjrovai,https://github.com/Mjrovai/Python4DS,Jupyter Notebooks used on my DataScience projects,805845
python,softhints/python,2018-12-08T14:07:14Z,Jupyter Notebook,89,89,124,1.0,"['pandas', 'pandas-cookbook', 'pandas-tricks-for-data-manipulation', 'pandas-tutorial']",False,softhints,https://github.com/softhints/python,Jupyter notebooks and datasets for the interesting pandas/python/data science video series.,599
